page_type,slug,page_name,url,proposed_reviewer_slug,proposed_reviewer,confirmed_reviewer_slug (edit if different),date_read (YYYY-MM-DD),doctor_initials
technology,ultherapy-system,Ultherapy System,https://kaiteki.my/technology/ultherapy-system,dr-chew-yuhhui,Dr Chew Yuhhui,dr-chew-yuhhui,,
technology,xerf,XERF,https://kaiteki.my/technology/xerf,dr-chloe-wan,Dr Chloe Wan Poh Yee,dr-chloe-wan,,
technology,sylfirm-x,Sylfirm X,https://kaiteki.my/technology/sylfirm-x,dr-yeong-bin,Dr Yeong Bin,dr-yeong-bin,,
technology,morpheus8,Morpheus8,https://kaiteki.my/technology/morpheus8,dr-william-yap,Dr William Yap,dr-william-yap,,
technology,potenza,Potenza,https://kaiteki.my/technology/potenza,dr-lim-xiao-chien,Dr Lim Xiao Chien,dr-lim-xiao-chien,,
technology,btl-exilis,BTL Exilis,https://kaiteki.my/technology/btl-exilis,dr-jeremy-low,Dr Jeremy Low Jia Wei,dr-jeremy-low,,
technology,wonderface,Wonderface,https://kaiteki.my/technology/wonderface,dr-chang-chee-seong,Dr Chang Chee Seong,dr-chang-chee-seong,,
technology,coolsculpting,CoolSculpting,https://kaiteki.my/technology/coolsculpting,dr-jacqueline-tan,Dr Jacqueline Tan,dr-jacqueline-tan,,
technology,cooltech,Cooltech,https://kaiteki.my/technology/cooltech,dr-joaan-kong,Dr Joaan Kong,dr-joaan-kong,,
technology,onda-coolwaves,Onda Coolwaves,https://kaiteki.my/technology/onda-coolwaves,dr-tim-chua,Dr Tim Chua,dr-tim-chua,,
technology,schwarzy,Schwarzy (Em-Fit),https://kaiteki.my/technology/schwarzy,dr-calvin-tan,Dr Calvin Tan,dr-calvin-tan,,
technology,profhilo,Profhilo,https://kaiteki.my/technology/profhilo,dr-lucas-chew,Dr Lucas Chew,dr-lucas-chew,,
technology,rejuran,Rejuran,https://kaiteki.my/technology/rejuran,dr-jade,Dr Jade,dr-jade,,
technology,plinest,Plinest/Newest,https://kaiteki.my/technology/plinest,dr-teresa-tan,Dr Teresa Tan,dr-teresa-tan,,
technology,juvelook,Juvelook,https://kaiteki.my/technology/juvelook,dr-chin-wei-horng,Dr Chin Wei Horng,dr-chin-wei-horng,,
technology,hydrodeluxe,Hydrodeluxe,https://kaiteki.my/technology/hydrodeluxe,dr-yvonne-chuah,Dr Yvonne Chuah,dr-yvonne-chuah,,
technology,botox,Botox,https://kaiteki.my/technology/botox,dr-chang-chee-seong,Dr Chang Chee Seong,dr-chang-chee-seong,,
technology,sculptra,Sculptra,https://kaiteki.my/technology/sculptra,dr-jamie-gan,Dr Jamie Gan Ee Vienn,dr-jamie-gan,,
technology,ellanse,Ellanse,https://kaiteki.my/technology/ellanse,dr-jen-meng,Dr Jen Meng,dr-jen-meng,,
technology,radiesse,Radiesse,https://kaiteki.my/technology/radiesse,dr-chloe-wan,Dr Chloe Wan Poh Yee,dr-chloe-wan,,
technology,juvederm,Juvederm,https://kaiteki.my/technology/juvederm,dr-say-wei-xian,Dr Say Wei Xian,dr-say-wei-xian,,
technology,restylane,Restylane,https://kaiteki.my/technology/restylane,dr-jessie-lim,Dr Jessie Lim Jia Min,dr-jessie-lim,,
technology,belotero,Belotero,https://kaiteki.my/technology/belotero,dr-chew-yuhhui,Dr Chew Yuhhui,dr-chew-yuhhui,,
technology,art-filler,Art Filler,https://kaiteki.my/technology/art-filler,dr-jessie-lim,Dr Jessie Lim Jia Min,dr-jessie-lim,,
technology,hydrafacial,Hydrafacial,https://kaiteki.my/technology/hydrafacial,dr-yeong-bin,Dr Yeong Bin,dr-yeong-bin,,
technology,silkpeel,Silkpeel,https://kaiteki.my/technology/silkpeel,dr-william-yap,Dr William Yap,dr-william-yap,,
technology,alma,Alma (IPL + RF),https://kaiteki.my/technology/alma,dr-lim-xiao-chien,Dr Lim Xiao Chien,dr-lim-xiao-chien,,
